Nombre,Precio
"Notebook Hp 14-em0001 Ryzen 3 7320u 8gb 256gb, 14"" Fhd Color Azul Claro De Luna","$
722.699
40% OFF"
Notebook Hp 13-bg0002la AMD Ryzen 5 16gb Ram 512gb Ssd Windows 11 Home,"$
1.449.999
41% OFF"
Notebook Acer Aspire Lite Al15-41 Amd Ryzen 7 5700u 16gb Ram 512gb Ssd Graficos Integrados Radeon 15.6'' 1920x1080px 60hz Teclado Ingles Windows 11 Home Color Plateado,"$
999.999
25% OFF"
Notebook Exo Smart T38 Intel N4020 4gb Ssd128gb Windows 11 Color Gris,"$
335.999
39% OFF"
